log distance [m];gridzone;easting [m];northing [m];height [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
47135.4;22;635414.8923;7605386.019;482.953;GirthWeld;38940;12.34;11.45;;;;;;;
47147.74;22;635427.1239;7605384.418;482.8565;GirthWeld;38950;12.36;11.45;;;;;;;
47160.1;22;635439.3756;7605382.799;482.7136;GirthWeld;38960;12.3;11.45;;;;;;;
47172.41;22;635451.5679;7605381.192;482.5921;GirthWeld;38970;12.3;11.45;;;;;;;
47184.71;22;635463.7516;7605379.556;482.5063;GirthWeld;38980;12.38;11.45;;;;;;;
47197.08;22;635476.0135;7605377.925;482.4973;GirthWeld;38990;12.36;11.45;;;;;;;
47209.44;22;635488.2666;7605376.335;482.5062;GirthWeld;39000;12.32;11.45;;;;;;;
47221.77;22;635500.4874;7605374.784;482.4048;GirthWeld;39010;12.37;11.45;;;;;;;
47234.14;22;635512.7445;7605373.193;482.2354;GirthWeld;39020;12.34;11.45;;;;;;;
47246.48;22;635524.98;7605371.613;482.1527;GirthWeld;39030;12.34;11.45;;;;;;;
47258.82;22;635537.2118;7605370.007;482.037;GirthWeld;39040;12.28;11.45;;;;;;;
47271.1;22;635549.383;7605368.424;481.9178;GirthWeld;39050;12.37;11.45;;;;;;;
47283.47;22;635561.6336;7605366.796;481.6772;GirthWeld;39060;12.3;11.45;;;;;;;
47295.77;22;635573.8161;7605365.193;481.3436;GirthWeld;39070;12.24;11.45;;;;;;;
47308;22;635585.9579;7605363.769;480.984;GirthWeld;39080;12.34;11.45;;;;;;;
47320.34;22;635598.2033;7605362.352;480.6645;GirthWeld;39090;12.32;11.45;;;;;;;
47332.67;22;635610.4418;7605360.974;480.4461;GirthWeld;39100;12.33;11.45;;;;;;;
47345;22;635622.6951;7605359.64;480.3779;GirthWeld;39110;12.24;11.45;;;;;;;
47357.24;22;635634.8539;7605358.327;480.2865;GirthWeld;39120;12.33;11.45;;;;;;;
47369.56;22;635647.0926;7605356.97;479.8676;GirthWeld;39130;12;11.45;;;;;;;
47381.56;22;635659.0081;7605355.669;479.5186;GirthWeld;39140;12.33;11.45;;;;;;;
47393.89;22;635671.2581;7605354.384;479.1682;GirthWeld;39150;12.36;11.45;;;;;;;
47406.25;22;635683.5346;7605353.063;478.8243;GirthWeld;39160;12.27;11.45;;;;;;;
47418.52;22;635695.7276;7605351.746;478.5659;GirthWeld;39170;12.35;11.45;;;;;;;
47430.88;22;635707.9944;7605350.374;478.2249;GirthWeld;39180;11.81;11.45;;;;;;;
47442.68;22;635719.7137;7605349.062;477.8287;GirthWeld;39190;12.36;11.45;;;;;;;
47455.04;22;635731.9847;7605347.687;477.4662;GirthWeld;39200;12.34;11.45;;;;;;;
47467.38;22;635744.2288;7605346.283;477.0917;GirthWeld;39210;12.29;11.45;;;;;;;
47479.67;22;635756.4241;7605344.898;476.6713;GirthWeld;39220;12.33;11.45;;;;;;;
47492;22;635768.6642;7605343.527;476.3042;GirthWeld;39230;12.38;11.45;;;;;;;
47504.38;22;635780.9481;7605342.13;475.8715;GirthWeld;39240;12.34;11.45;;;;;;;
47516.71;22;635793.1832;7605340.722;475.2781;GirthWeld;39250;12.03;11.45;;;;;;;
47528.75;22;635805.1264;7605339.352;474.9843;GirthWeld;39260;12.23;11.45;;;;;;;
47540.98;22;635817.2637;7605337.98;474.5447;GirthWeld;39270;12.36;11.45;;;;;;;
47553.33;22;635829.5191;7605336.574;473.9722;GirthWeld;39280;12.27;11.45;;;;;;;
47565.6;22;635841.6846;7605335.156;473.3625;GirthWeld;39290;12.37;11.45;;;;;;;
47577.98;22;635853.9574;7605333.757;472.7795;GirthWeld;39300;12.32;11.45;;;;;;;
47590.3;22;635866.172;7605332.312;472.2686;GirthWeld;39310;12.37;11.45;;;;;;;
47602.67;22;635878.4279;7605330.776;471.7143;GirthWeld;39320;12.34;11.45;;;;;;;
47615.01;22;635890.653;7605329.24;471.129;GirthWeld;39330;12.32;11.45;;;;;;;
47627.33;22;635902.8573;7605327.747;470.5272;GirthWeld;39340;12.38;11.45;;;;;;;
47639.71;22;635915.12;7605326.246;469.8379;GirthWeld;39350;12.39;11.45;;;;;;;
47652.1;22;635927.3936;7605324.703;469.3324;GirthWeld;39360;12.31;11.45;;;;;;;
47664.42;22;635939.5998;7605323.148;469.0756;GirthWeld;39370;12.36;11.45;;;;;;;
47676.78;22;635951.8484;7605321.666;468.413;GirthWeld;39380;12.34;11.45;;;;;;;
47689.12;22;635964.0733;7605320.219;467.7061;GirthWeld;39390;12.37;11.45;;;;;;;
47701.49;22;635976.3235;7605318.777;466.8736;GirthWeld;39400;12.34;11.45;;;;;;;
47713.83;22;635988.5394;7605317.291;466.1548;GirthWeld;39410;12.38;11.45;;;;;;;
47726.2;22;636000.8081;7605315.785;465.6873;GirthWeld;39420;12.33;11.45;;;;;;;
47738.54;22;636013.0308;7605314.288;465.139;GirthWeld;39430;12.37;11.45;;;;;;;
47750.91;22;636025.2814;7605312.774;464.4744;GirthWeld;39440;12.33;11.45;;;;;;;
47763.24;22;636037.4918;7605311.288;463.7254;GirthWeld;39450;12.36;11.45;;;;;;;
47775.6;22;636049.7513;7605309.841;463.2368;GirthWeld;39460;12.34;11.45;;;;;;;
47787.94;22;636061.9529;7605308.436;462.2848;GirthWeld;39470;12.39;11.45;;;;;;;
47800.32;22;636074.2134;7605306.97;461.4498;GirthWeld;39480;12.34;11.45;;;;;;;
47812.66;22;636086.438;7605305.501;460.7631;GirthWeld;39490;12.36;11.45;;;;;;;
47825.03;22;636098.7054;7605304.092;460.3569;GirthWeld;39500;12.32;11.45;;;;;;;
47837.35;22;636110.9159;7605302.709;459.6837;GirthWeld;39510;12.2;11.45;;;;;;;
47849.55;22;636122.9712;7605301.302;458.6072;GirthWeld;39520;12.35;11.45;;;;;;;
47861.9;22;636135.2156;7605299.843;458.0185;GirthWeld;39530;12.32;11.45;;;;;;;
47874.22;22;636147.425;7605298.389;457.44;GirthWeld;39540;12.34;11.45;;;;;;;
47886.56;22;636159.6605;7605296.928;456.8999;GirthWeld;39550;12.34;11.45;;;;;;;
47898.9;22;636171.8864;7605295.432;456.2411;GirthWeld;39560;12.37;11.45;;;;;;;
47911.28;22;636184.1408;7605293.92;455.6042;GirthWeld;39570;12.42;11.45;;;;;;;
47923.69;22;636196.4528;7605292.485;455.042;GirthWeld;39580;12.3;11.45;;;;;;;
47935.99;22;636208.6557;7605291.081;454.5212;GirthWeld;39590;12.35;11.45;;;;;;;
47948.34;22;636220.8978;7605289.64;453.9429;GirthWeld;39600;12.37;11.45;;;;;;;
47960.72;22;636233.1628;7605288.21;453.2851;GirthWeld;39610;12.33;11.45;;;;;;;
47973.05;22;636245.3901;7605286.796;452.7289;GirthWeld;39620;12.34;11.45;;;;;;;
47985.38;22;636257.636;7605285.381;452.4508;GirthWeld;39630;12.21;11.45;;;;;;;
