log dist. [m];gridzone;easting [m];northing [m];heighting [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
24911.5;22;615553.3512;7613805.199;416.3154;Girth Weld;20590;12.05;13.74;;;;;;;
24923.56;22;615560.8773;7613795.704;416.6695;Area Start_wall thickness Change <;20600;12.34;11.45;;;;;;;
24935.89;22;615568.5823;7613785.99;417.0751;Girth Weld;20610;12.34;11.45;;;;;;;
24948.24;22;615576.2821;7613776.259;417.3534;Girth Weld;20620;12.27;11.45;;;;;;;
24960.51;22;615583.9219;7613766.573;417.6024;Girth Weld;20630;12.25;11.45;;;;;;;
24972.76;22;615591.5477;7613756.898;417.902;Girth Weld;20640;12.32;11.45;;;;;;;
24985.08;22;615599.2247;7613747.18;418.176;Girth Weld;20650;12.33;11.45;;;;;;;
24997.41;22;615606.9046;7613737.456;418.4354;Girth Weld;20660;12.29;11.45;;;;;;;
25003.21;22;615610.519;7613732.863;418.532;MM  / No. 13 @ KM 922+004,40;;;;;11:30;;;;;
25009.7;22;615614.5515;7613727.794;418.5516;Girth Weld;20670;12.28;11.45;;;;;;;
25021.98;22;615622.1755;7613718.17;418.6054;Girth Weld;20680;12.34;11.45;;;;;;;
25034.32;22;615629.8518;7613708.502;418.6545;Girth Weld;20690;11.95;11.45;;;;;;;
25046.27;22;615637.2859;7613699.141;418.626;Girth Weld;20700;12.35;11.45;;;;;;;
25058.63;22;615644.9604;7613689.46;418.5852;Girth Weld;20710;12.27;11.45;;;;;;;
25070.89;22;615652.5545;7613679.825;418.5573;Girth Weld;20720;12.35;11.45;;;;;;;
